               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068356,            0.047206,            0.037588,             0.88376,            0.010761,           0.0099551,           0.0021908,            0.063506,            0.046777,            0.030311,            0.070085,           0.0033238,           0.0033238
                   1,            0.061176,            0.043068,             0.01579,             0.78712,            0.040385,            0.015328,           0.0038713,            0.053474,            0.055264,            0.022415,            0.040075,           0.0066465,           0.0066465
                   2,            0.057574,            0.041816,            0.012749,             0.80638,            0.047765,            0.025845,           0.0069123,            0.051016,            0.044759,            0.015866,            0.010054,           0.0099585,           0.0099585
                   3,            0.054902,            0.042845,            0.011037,             0.80177,            0.054069,            0.031654,           0.0084733,            0.050169,            0.038767,            0.013515,            0.009952,            0.009952,            0.009952
                   4,            0.052961,            0.042562,           0.0093828,             0.62682,             0.08889,            0.061353,            0.019691,            0.047306,            0.036025,            0.010349,            0.009952,            0.009952,            0.009952
                   5,             0.05125,            0.041843,           0.0077739,             0.68298,             0.10029,            0.082765,            0.026257,            0.046228,            0.040415,            0.010529,            0.009936,            0.009936,            0.009936
                   6,            0.050552,            0.041716,           0.0067597,             0.67193,             0.12257,            0.099921,            0.032537,             0.04469,            0.034484,            0.007904,             0.00992,             0.00992,             0.00992
                   7,            0.049875,            0.041155,           0.0058895,             0.66703,             0.14969,             0.12144,            0.040376,            0.044411,            0.033544,           0.0054721,            0.009904,            0.009904,            0.009904
                   8,             0.04925,            0.041114,           0.0052652,             0.69572,             0.16787,             0.13807,            0.046552,            0.043388,            0.033945,           0.0055014,            0.009888,            0.009888,            0.009888
                   9,            0.048838,            0.040618,           0.0051532,             0.59465,             0.16943,             0.15477,            0.049927,             0.04341,            0.033465,           0.0047291,            0.009872,            0.009872,            0.009872
                  10,            0.048207,            0.040221,           0.0044843,             0.60835,             0.17534,             0.16622,            0.059476,             0.04257,            0.034385,           0.0049548,            0.009856,            0.009856,            0.009856
                  11,            0.047687,            0.039137,           0.0043971,             0.62667,             0.18978,             0.19022,             0.07001,            0.041928,            0.032685,           0.0037322,             0.00984,             0.00984,             0.00984
                  12,            0.047531,            0.039712,           0.0049599,             0.34427,             0.17188,             0.15656,            0.049594,            0.042381,            0.033265,           0.0043581,            0.009824,            0.009824,            0.009824
                  13,            0.047301,            0.039722,           0.0036111,             0.73754,             0.20718,             0.20077,            0.070514,            0.041381,            0.032911,           0.0039075,            0.009808,            0.009808,            0.009808
                  14,            0.046916,            0.039187,           0.0036591,             0.77338,             0.19919,              0.2043,            0.073209,            0.041191,            0.032258,           0.0033849,            0.009792,            0.009792,            0.009792
                  15,            0.046679,            0.039091,           0.0036297,             0.77068,             0.21085,              0.2114,            0.076872,            0.041051,             0.03235,           0.0032068,            0.009776,            0.009776,            0.009776
                  16,            0.046484,            0.038392,            0.003374,             0.77344,             0.21769,             0.21797,            0.081722,            0.040739,            0.032044,           0.0027953,             0.00976,             0.00976,             0.00976
                  17,            0.046036,            0.038291,           0.0033643,             0.77208,             0.21168,             0.21324,            0.080472,            0.040406,            0.032003,           0.0032368,            0.009744,            0.009744,            0.009744
                  18,             0.04608,            0.038015,           0.0030243,             0.78208,             0.22573,             0.23127,             0.08642,            0.040133,            0.032004,           0.0025515,            0.009728,            0.009728,            0.009728
                  19,            0.045996,            0.038256,           0.0031091,             0.79237,             0.22511,             0.23215,            0.088454,             0.04025,            0.031726,           0.0028367,            0.009712,            0.009712,            0.009712
                  20,            0.046014,            0.037952,           0.0029543,             0.79402,              0.2273,             0.23309,            0.086326,            0.040008,            0.032318,           0.0026654,            0.009696,            0.009696,            0.009696
                  21,            0.046133,            0.038439,           0.0032276,             0.80153,              0.2271,             0.23617,            0.092183,            0.039877,            0.031335,           0.0024627,             0.00968,             0.00968,             0.00968
                  22,            0.045289,            0.037161,           0.0023986,              0.8067,             0.23242,             0.24349,            0.092585,            0.039414,            0.030962,            0.002343,            0.009664,            0.009664,            0.009664
                  23,            0.045422,            0.036974,           0.0028561,             0.80577,             0.23305,             0.24483,             0.09626,            0.039586,            0.032044,           0.0027098,            0.009648,            0.009648,            0.009648
                  24,            0.045349,            0.037771,           0.0027673,              0.8024,             0.23806,             0.25498,            0.096891,            0.039396,            0.031541,           0.0022949,            0.009632,            0.009632,            0.009632
                  25,            0.045192,            0.037664,           0.0025184,             0.81056,             0.23978,             0.25908,             0.10038,            0.039259,            0.031976,           0.0024027,            0.009616,            0.009616,            0.009616
                  26,            0.044825,            0.036339,           0.0025507,             0.79108,             0.24667,             0.26125,            0.099912,             0.03914,            0.031145,           0.0021994,              0.0096,              0.0096,              0.0096
                  27,            0.044897,            0.037055,           0.0023996,             0.75976,             0.24952,             0.26569,             0.10167,            0.038948,            0.031054,           0.0020385,            0.009584,            0.009584,            0.009584
                  28,            0.044862,            0.036687,           0.0023111,             0.76023,             0.25721,             0.27282,             0.10501,            0.038761,            0.030886,           0.0020116,            0.009568,            0.009568,            0.009568
                  29,            0.044904,            0.036727,           0.0024789,             0.72055,             0.26449,             0.27499,             0.10501,            0.038792,            0.030841,           0.0020595,            0.009552,            0.009552,            0.009552
                  30,            0.044777,            0.037419,           0.0021048,              0.7221,             0.27686,             0.28297,             0.10894,            0.038593,            0.030749,           0.0018936,            0.009536,            0.009536,            0.009536
                  31,            0.044954,            0.037765,           0.0025456,             0.74031,              0.2524,             0.26645,             0.10008,            0.038806,            0.030979,           0.0023394,             0.00952,             0.00952,             0.00952
                  32,            0.044774,            0.037368,           0.0023074,             0.74543,             0.26194,             0.28017,              0.1056,            0.038579,            0.030694,           0.0018433,            0.009504,            0.009504,            0.009504
                  33,            0.044565,            0.036586,           0.0022441,             0.66271,             0.28373,             0.28415,             0.10769,            0.038368,            0.030587,           0.0017142,            0.009488,            0.009488,            0.009488
                  34,            0.044236,            0.036399,           0.0021942,             0.63531,             0.28671,             0.28944,             0.11052,            0.038303,            0.030334,            0.001661,            0.009472,            0.009472,            0.009472
                  35,            0.044295,            0.036193,           0.0023752,             0.65415,             0.29352,              0.2982,             0.11554,            0.038194,             0.03041,           0.0017202,            0.009456,            0.009456,            0.009456
                  36,             0.04442,            0.036301,           0.0019209,              0.6461,             0.29458,             0.29711,             0.11192,             0.03821,            0.030375,           0.0017428,             0.00944,             0.00944,             0.00944
                  37,            0.044362,            0.036851,           0.0020998,              0.6828,             0.29405,             0.30327,             0.12053,            0.038057,            0.030436,            0.001621,            0.009424,            0.009424,            0.009424
                  38,            0.044241,            0.036609,           0.0020044,             0.68612,              0.3044,             0.31433,             0.12062,            0.038072,            0.030436,           0.0016012,            0.009408,            0.009408,            0.009408
                  39,             0.04388,             0.03642,           0.0020393,             0.69411,             0.30006,             0.31878,             0.12459,            0.037937,            0.030292,            0.001572,            0.009392,            0.009392,            0.009392
                  40,            0.043917,            0.036194,            0.001798,             0.68861,             0.31007,             0.31347,             0.12332,            0.037898,            0.030204,           0.0014853,            0.009376,            0.009376,            0.009376
                  41,            0.043872,            0.036391,            0.001651,             0.69052,             0.29769,              0.3175,             0.12607,            0.037773,            0.030201,           0.0014439,             0.00936,             0.00936,             0.00936
                  42,            0.043991,            0.036397,           0.0018212,              0.6705,             0.31761,             0.33105,             0.13044,            0.037705,            0.030065,           0.0014762,            0.009344,            0.009344,            0.009344
                  43,            0.043809,            0.036231,           0.0016986,             0.65915,             0.31892,             0.32611,             0.12812,             0.03765,             0.03011,           0.0014891,            0.009328,            0.009328,            0.009328
                  44,            0.043787,            0.036307,           0.0018781,             0.67421,             0.31897,             0.32707,             0.12723,            0.037644,            0.030038,           0.0014614,            0.009312,            0.009312,            0.009312
                  45,            0.043422,            0.035886,            0.001961,             0.70934,             0.30789,             0.33636,             0.13182,            0.037609,            0.030093,           0.0014918,            0.009296,            0.009296,            0.009296
                  46,            0.043792,            0.036267,           0.0018944,             0.71918,               0.308,             0.32748,             0.12715,            0.037621,            0.030108,           0.0014979,             0.00928,             0.00928,             0.00928
                  47,            0.043766,            0.036063,           0.0017498,             0.67401,             0.32351,             0.33822,             0.13453,            0.037449,            0.030019,           0.0013706,            0.009264,            0.009264,            0.009264
                  48,            0.043818,            0.035822,           0.0016772,              0.7037,             0.32418,              0.3415,              0.1356,            0.037408,             0.02995,           0.0013123,            0.009248,            0.009248,            0.009248
                  49,            0.043452,            0.035674,           0.0016022,              0.6825,             0.33799,             0.34139,              0.1347,            0.037374,             0.02989,           0.0013088,            0.009232,            0.009232,            0.009232
                  50,            0.043469,            0.035723,           0.0018333,             0.70549,             0.33023,              0.3485,             0.13658,            0.037381,            0.029906,           0.0013606,            0.009216,            0.009216,            0.009216
                  51,              0.0435,            0.035992,           0.0015242,             0.69527,             0.33515,             0.36062,             0.13963,            0.037272,            0.029697,           0.0013097,              0.0092,              0.0092,              0.0092
                  52,            0.043488,            0.036315,           0.0017991,             0.53118,             0.35498,             0.35333,             0.14105,            0.037254,            0.029844,           0.0013065,            0.009184,            0.009184,            0.009184
                  53,             0.04367,            0.036271,           0.0015339,              0.5694,             0.35444,             0.35936,             0.14031,            0.037216,            0.029765,           0.0012749,            0.009168,            0.009168,            0.009168
                  54,            0.042881,            0.035222,           0.0014852,             0.44513,             0.36734,             0.36517,             0.14356,            0.037168,            0.029746,           0.0012475,            0.009152,            0.009152,            0.009152
                  55,            0.043088,            0.035763,           0.0015477,             0.51114,             0.36492,             0.37361,              0.1456,            0.037136,            0.029703,           0.0011978,            0.009136,            0.009136,            0.009136
                  56,            0.043168,            0.035724,           0.0013555,             0.48434,             0.37758,              0.3772,             0.14689,            0.037096,              0.0297,            0.001183,             0.00912,             0.00912,             0.00912
                  57,             0.04312,            0.035535,           0.0015725,             0.47594,             0.37993,              0.3779,             0.14819,            0.037005,            0.029642,           0.0011767,            0.009104,            0.009104,            0.009104
                  58,             0.04315,            0.035881,           0.0015319,             0.51499,             0.37448,              0.3823,             0.14989,            0.037021,            0.029729,           0.0011839,            0.009088,            0.009088,            0.009088
                  59,            0.043307,            0.035975,           0.0014311,              0.5352,             0.36695,             0.38651,             0.15031,            0.036964,            0.029723,           0.0011739,            0.009072,            0.009072,            0.009072
                  60,            0.042877,            0.035719,           0.0013684,             0.44421,             0.41771,             0.40106,             0.15433,            0.036894,            0.029572,           0.0011381,            0.009056,            0.009056,            0.009056
                  61,            0.043014,            0.035529,           0.0014283,              0.4582,             0.40416,             0.40083,             0.15546,             0.03687,            0.029591,           0.0011222,             0.00904,             0.00904,             0.00904
                  62,             0.04283,             0.03506,           0.0013757,             0.48306,              0.3999,             0.39295,             0.15382,            0.036855,            0.029604,           0.0011511,            0.009024,            0.009024,            0.009024
                  63,            0.042957,             0.03605,           0.0013239,             0.55861,             0.39547,             0.40514,             0.15663,            0.036795,            0.029605,           0.0011434,            0.009008,            0.009008,            0.009008
                  64,            0.042924,            0.035392,           0.0013101,             0.50989,             0.42325,             0.40884,             0.15865,            0.036764,            0.029586,            0.001151,            0.008992,            0.008992,            0.008992
                  65,             0.04272,            0.035189,           0.0013483,             0.54905,             0.40955,             0.41811,             0.15834,            0.036754,            0.029591,           0.0011456,            0.008976,            0.008976,            0.008976
                  66,            0.042818,            0.035473,           0.0014342,             0.52001,             0.43079,             0.42078,             0.16022,             0.03671,            0.029527,           0.0011509,             0.00896,             0.00896,             0.00896
                  67,            0.042579,            0.035408,           0.0013516,             0.57304,             0.40864,             0.42245,             0.16305,             0.03667,            0.029559,           0.0011436,            0.008944,            0.008944,            0.008944
                  68,            0.042639,            0.035056,           0.0012237,             0.58331,             0.40046,             0.42445,             0.16555,            0.036653,            0.029512,            0.001131,            0.008928,            0.008928,            0.008928
                  69,            0.042661,            0.035295,           0.0012301,             0.56644,             0.41426,             0.42342,             0.16658,            0.036622,            0.029465,           0.0011176,            0.008912,            0.008912,            0.008912
                  70,            0.042784,             0.03494,           0.0012298,             0.55928,             0.42911,             0.43398,             0.16716,            0.036595,             0.02944,           0.0011034,            0.008896,            0.008896,            0.008896
                  71,            0.042761,            0.034893,           0.0012608,             0.52809,             0.45239,              0.4405,             0.17001,            0.036566,            0.029426,           0.0010856,             0.00888,             0.00888,             0.00888
                  72,            0.042351,            0.034863,           0.0012851,             0.53865,             0.46762,             0.44503,             0.17244,            0.036534,            0.029414,           0.0010944,            0.008864,            0.008864,            0.008864
                  73,            0.042681,             0.03488,           0.0012762,             0.58702,             0.43153,             0.45251,             0.17423,             0.03651,            0.029419,           0.0010907,            0.008848,            0.008848,            0.008848
                  74,            0.042692,            0.034767,           0.0012218,             0.56398,             0.45146,              0.4527,             0.17574,            0.036485,            0.029405,            0.001078,            0.008832,            0.008832,            0.008832
                  75,            0.042324,            0.034361,           0.0012309,             0.54724,             0.45344,             0.45406,             0.17666,            0.036458,            0.029382,            0.001076,            0.008816,            0.008816,            0.008816
                  76,            0.042508,            0.034386,           0.0013923,              0.5781,             0.44639,             0.45423,             0.17627,            0.036441,            0.029387,           0.0010889,              0.0088,              0.0088,              0.0088
                  77,            0.042568,            0.034106,             0.00122,              0.5486,             0.46755,             0.45869,             0.17744,            0.036414,            0.029395,           0.0010809,            0.008784,            0.008784,            0.008784
                  78,            0.042053,            0.034312,           0.0011115,             0.55062,             0.46681,             0.45433,              0.1766,             0.03639,            0.029386,           0.0010705,            0.008768,            0.008768,            0.008768
                  79,            0.042397,            0.034618,           0.0012118,             0.54735,             0.47664,             0.45626,             0.17768,            0.036365,            0.029368,           0.0010643,            0.008752,            0.008752,            0.008752
                  80,            0.042333,            0.035233,           0.0012421,             0.55927,             0.48406,             0.46173,             0.17944,            0.036345,            0.029364,           0.0010737,            0.008736,            0.008736,            0.008736
                  81,            0.042464,            0.034816,           0.0011881,             0.55399,             0.48199,             0.46613,             0.18028,            0.036331,            0.029368,           0.0010735,             0.00872,             0.00872,             0.00872
                  82,            0.042489,            0.034481,           0.0011876,             0.55035,              0.4974,             0.46718,              0.1798,             0.03632,            0.029373,           0.0010838,            0.008704,            0.008704,            0.008704
                  83,            0.042037,            0.034596,           0.0011408,             0.55529,             0.49105,               0.464,             0.17965,            0.036302,            0.029347,           0.0010779,            0.008688,            0.008688,            0.008688
                  84,            0.042035,            0.034404,           0.0010193,             0.56807,              0.4896,             0.46645,             0.18007,            0.036284,            0.029318,           0.0010679,            0.008672,            0.008672,            0.008672
                  85,            0.042268,            0.033662,           0.0010911,             0.57958,             0.49345,             0.47306,             0.18296,            0.036269,            0.029289,           0.0010641,            0.008656,            0.008656,            0.008656
                  86,            0.042599,            0.035575,            0.001037,              0.5854,             0.47945,             0.46759,              0.1823,            0.036258,            0.029267,           0.0010537,             0.00864,             0.00864,             0.00864
                  87,            0.042182,            0.034751,           0.0011338,             0.58041,             0.48316,             0.46568,             0.18251,            0.036241,            0.029246,           0.0010502,            0.008624,            0.008624,            0.008624
