               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068173,            0.051146,                   0,          0.00030741,            0.011999,          0.00015577,          2.8972e-05,            0.056967,            0.021344,                   0,            0.070455,           0.0032828,           0.0032828
                   1,             0.06308,            0.050104,                   0,          0.00012593,           0.0049154,          6.3647e-05,          1.3446e-05,            0.056756,            0.021413,                   0,            0.040449,           0.0066109,           0.0066109
                   2,            0.057122,            0.046372,                   0,           0.0095259,             0.37184,            0.045923,           0.0085805,            0.054792,            0.019909,                   0,            0.010439,           0.0099336,           0.0099336
                   3,              0.0542,            0.044253,                   0,             0.29695,             0.39397,             0.24711,            0.064556,            0.040307,            0.021184,                   0,            0.009976,            0.009976,            0.009976
                   4,            0.051455,            0.046403,                   0,             0.28774,             0.41073,             0.23829,            0.062445,            0.040231,            0.018148,                   0,            0.009976,            0.009976,            0.009976
                   5,            0.049076,            0.044442,                   0,             0.27066,             0.40367,             0.21957,            0.055804,            0.042549,            0.017501,                   0,            0.009968,            0.009968,            0.009968
                   6,            0.047406,            0.043868,                   0,             0.37829,             0.43006,             0.31369,            0.084646,            0.038616,            0.015244,                   0,             0.00996,             0.00996,             0.00996
                   7,            0.046598,            0.043263,                   0,             0.58148,             0.54937,             0.55522,             0.17334,            0.034255,            0.014718,                   0,            0.009952,            0.009952,            0.009952
                   8,            0.046183,            0.043179,                   0,             0.60009,             0.53376,             0.54849,              0.1613,            0.035278,            0.014994,                   0,            0.009944,            0.009944,            0.009944
                   9,            0.044556,            0.042057,                   0,             0.68916,             0.61255,             0.63635,             0.19376,            0.033614,            0.013474,                   0,            0.009936,            0.009936,            0.009936
                  10,            0.043931,            0.041553,                   0,             0.66705,             0.60445,             0.61535,             0.17989,            0.034476,            0.014241,                   0,            0.009928,            0.009928,            0.009928
                  11,             0.04379,            0.040062,                   0,              0.6446,             0.57221,             0.55967,             0.15563,            0.035684,            0.014223,                   0,             0.00992,             0.00992,             0.00992
                  12,            0.043438,            0.039318,                   0,             0.77899,             0.67414,             0.73839,             0.24333,            0.031793,             0.01386,                   0,            0.009912,            0.009912,            0.009912
                  13,            0.042988,            0.040334,                   0,             0.69816,             0.59534,             0.60027,             0.17091,            0.035312,            0.013199,                   0,            0.009904,            0.009904,            0.009904
                  14,            0.042324,            0.038967,                   0,             0.73427,             0.66055,             0.68037,             0.20543,             0.03391,            0.013747,                   0,            0.009896,            0.009896,            0.009896
                  15,            0.042483,            0.040176,                   0,             0.82493,             0.74411,             0.79685,             0.27917,            0.030894,            0.013142,                   0,            0.009888,            0.009888,            0.009888
                  16,            0.041728,            0.038945,                   0,             0.64542,             0.57106,             0.53713,             0.14403,            0.035316,            0.013171,                   0,             0.00988,             0.00988,             0.00988
                  17,            0.041919,            0.037835,                   0,             0.78334,              0.6737,             0.71961,             0.23175,            0.032375,            0.012588,                   0,            0.009872,            0.009872,            0.009872
                  18,            0.042042,            0.038366,                   0,             0.80893,             0.65621,             0.73512,             0.25017,            0.031214,            0.013178,                   0,            0.009864,            0.009864,            0.009864
