               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068747,             0.01279,            0.063853,                   0,                   0,                   0,                   0,            0.056814,            0.011201,            0.058075,            0.070882,           0.0032353,           0.0032353
                   1,            0.060142,            0.014624,            0.057682,                   0,                   0,                   0,                   0,            0.054174,            0.012049,            0.057092,            0.040877,           0.0065634,           0.0065634
                   2,            0.056492,            0.014912,            0.054828,                   0,                   0,                   0,                   0,            0.053308,             0.01243,            0.055988,            0.010867,           0.0098861,           0.0098861
                   3,            0.052986,            0.015606,            0.049257,                   0,                   0,                   0,                   0,            0.053342,            0.012506,            0.054785,            0.009976,            0.009976,            0.009976
                   4,            0.048422,            0.015095,            0.047948,           0.0020243,           0.0037313,           0.0010763,          0.00024103,            0.052666,            0.010417,             0.05072,            0.009976,            0.009976,            0.009976
                   5,            0.045921,             0.01417,            0.046897,            0.026026,             0.29665,            0.048522,            0.013218,            0.045547,            0.010749,            0.046576,            0.009968,            0.009968,            0.009968
                   6,            0.043931,            0.013656,            0.045745,            0.011598,             0.36884,            0.043828,            0.013615,            0.040902,             0.01119,            0.046753,             0.00996,             0.00996,             0.00996
                   7,            0.043168,            0.013069,            0.045329,              0.6951,             0.10977,             0.08115,            0.030677,            0.037864,            0.012776,            0.043256,            0.009952,            0.009952,            0.009952
                   8,            0.041032,            0.012219,            0.043438,             0.63553,             0.10229,            0.049604,            0.013364,             0.04023,            0.011219,            0.048413,            0.009944,            0.009944,            0.009944
                   9,            0.039202,             0.01244,             0.04343,             0.67821,               0.166,            0.047763,            0.015984,            0.038916,             0.02219,            0.045563,            0.009936,            0.009936,            0.009936
                  10,            0.037924,            0.011775,            0.042519,             0.81915,             0.12169,             0.12298,            0.040307,            0.035478,            0.010624,            0.046692,            0.009928,            0.009928,            0.009928
                  11,             0.03654,            0.011609,            0.042749,             0.69172,             0.14352,            0.083295,            0.026618,            0.035425,           0.0087643,            0.038889,             0.00992,             0.00992,             0.00992
                  12,            0.035311,            0.011388,            0.042527,             0.42043,              0.1187,             0.03952,            0.013607,            0.043212,            0.010957,            0.046521,            0.009912,            0.009912,            0.009912
                  13,            0.034238,             0.01079,             0.04009,             0.58968,             0.18353,            0.093105,            0.026803,            0.037398,           0.0078669,            0.041443,            0.009904,            0.009904,            0.009904
                  14,            0.034005,            0.011454,            0.041557,              0.7312,             0.14292,              0.1191,            0.037316,            0.034348,           0.0096807,             0.04104,            0.009896,            0.009896,            0.009896
                  15,            0.033373,            0.010759,            0.039817,             0.74405,             0.15048,             0.15996,            0.065267,            0.029326,           0.0088587,            0.040164,            0.009888,            0.009888,            0.009888
                  16,            0.031915,             0.01145,            0.040132,             0.61995,             0.14015,             0.12096,            0.046709,            0.035699,           0.0093117,             0.04028,             0.00988,             0.00988,             0.00988
                  17,            0.032391,            0.010725,            0.039921,             0.38271,             0.21779,             0.15013,            0.067799,            0.027154,           0.0087471,            0.040335,            0.009872,            0.009872,            0.009872
                  18,            0.031037,            0.010944,            0.039001,               0.637,             0.14604,             0.12434,            0.055976,            0.031087,             0.00875,            0.042224,            0.009864,            0.009864,            0.009864
                  19,            0.030974,            0.010422,            0.038515,             0.70404,             0.13804,            0.079608,            0.019876,             0.04007,            0.011222,            0.039368,            0.009856,            0.009856,            0.009856
                  20,            0.030175,            0.010621,            0.037425,             0.62434,             0.20828,             0.15869,            0.044843,            0.037584,           0.0080295,            0.037097,            0.009848,            0.009848,            0.009848
